id,name,last_name,phone,address,personal_number
276dcff0-4869-4750-bf83-c75045058383,Sandro,Iashvili,555555555,Temqa,010190724141
77899a17-3be8-410d-838f-13b98f67cb8b,Sandro,Iashvili,555555555,Temqa,010190724141
115cf245-72aa-4fef-a3e3-786688ab72ef,Sandro,Iashvili,555555555,Temqa,010190724141
48bd5cab-8e4d-4182-9e74-91a46bd888ea,Sandro,Iashvili,555555555,Temqa,010190724141
a762772b-388b-4d66-9f9a-f98038adbb04,oto,Iashvili,555455555,Temqa,010190724145
2e31f1a7-f218-45b8-8c95-252f5a4bcb90,Sandro,Iashvili,555555555,Temqa,010190724141
a461d142-8a6b-4c97-9c7c-b977759e9818,oto,Iashvili,555455555,Temqa,010190724145
75d536e4-c134-4262-8b16-a9ceaea12bc2,Sandro,Iashvili,555555555,Temqa,010190724141
ac86e51c-64fd-4f3d-bfc3-3b083516e6e2,oto,Iashvili,555455555,Temqa,010190724145
975ed716-7626-44b4-8953-3c0ca24efb3a,Sandro,Iashvili,555555555,Temqa,010190724141
e42463df-0993-431d-ab17-bcb94df7592d,oto,Iashvili,555455555,Temqa,010190724145
fc7a7364-756f-4df2-835b-7779362831b6,Sandro,Iashvili,555555555,Temqa,010190724141
bd8b2991-e4aa-4689-b1c6-5fe1111a03ca,oto,Iashvili,555455555,Temqa,010190724145
8f0ead49-29d6-4282-a3e0-301258764c17,Sandro,Iashvili,555555555,Temqa,010190724141
18a3283f-bc4e-40b6-90fd-fa2f2904f92e,oto,Iashvili,555455555,Temqa,010190724145
ca33bffe-3626-4dcf-8d84-5caa72d0847a,Sandro,Iashvili,555555555,Temqa,010190724141
c736424f-2594-4338-9c06-5b00c586b3a1,oto,Iashvili,555455555,Temqa,010190724145
66f5c10c-9035-4b04-85e4-c6fe49aeceb3,Sandro,Iashvili,555555555,Temqa,010190724141
9e1e9fe4-0fd5-43c9-b85a-1a569286d396,oto,Iashvili,555455555,Temqa,010190724145
cafb08c8-2646-45fc-be88-d7d32cf101a9,Sandro,Iashvili,555555555,Temqa,010190724141
e3e87016-072c-4916-88b2-b2fdd7c4290b,oto,Iashvili,555455555,Temqa,010190724145
7233ab24-a00e-444e-af3d-1c95b122d91e,Sandro,Iashvili,555555555,Temqa,010190724141
1d37c200-a7f7-4328-8858-e66bfdbe4c3a,oto,Iashvili,555455555,Temqa,010190724145
2408b899-fd96-4b1f-a5b7-05c97d40437e,Sandro,Iashvili,555555555,Temqa,010190724141
38f0c5ec-796c-4175-b5fa-fca893d42245,oto,Iashvili,555455555,Temqa,010190724145
3dd5f2b6-90f9-4d49-b50e-631395be7a78,Sandro,Iashvili,555555555,Temqa,010190724141
c5936a7c-266d-424b-926d-5c391cd6fd91,oto,Iashvili,555455555,Temqa,010190724145
f76821cf-f4eb-4ae7-b489-9860acd23d5c,Sandro,Iashvili,555555555,Temqa,010190724141
2947f8c5-ca5a-4425-bb97-2ccce42b5589,oto,Iashvili,555455555,Temqa,010190724145
6a5b15b8-7c2e-4765-b797-2b0e424d0bf1,Sandro,Iashvili,555555555,Temqa,010190724141
da53d777-12e3-4d7c-91e1-b55c34fb6acc,oto,Iashvili,555455555,Temqa,010190724145
d5612729-459d-45cd-b696-e022414abe81,Sandro,Iashvili,555555555,Temqa,010190724141
c1208138-bd44-4a00-bc66-a69f7ce6d460,oto,Iashvili,555455555,Temqa,010190724145
ca5c4dc3-c65a-41ae-9c43-6cc81cef9877,Sandro,Iashvili,555555555,Temqa,010190724141
8813eabc-4000-456b-9fc8-b5c5744863da,oto,Iashvili,555455555,Temqa,010190724145
59d60249-0315-42fe-803b-6301992577cf,Sandro,Iashvili,555555555,Temqa,010190724141
35c62ffb-7e86-4fc0-8fb8-47e556a8cae4,oto,Iashvili,555455555,Temqa,010190724145
37c7a77d-9e7a-4a87-af65-8c7788ec16c3,Sandro,Iashvili,555555555,Temqa,010190724141
ad0b1fdc-ba95-4ef5-bcfe-b46d9e2bf7cd,oto,Iashvili,555455555,Temqa,010190724145
9c5e5d2a-6c3c-4759-b3c6-44bff9b9721f,Sandro,Iashvili,555555555,Temqa,010190724141
a2350562-6f36-4eba-bb94-041bd5744034,oto,Iashvili,555455555,Temqa,010190724145
